,0
639,110813
640,112072
641,9907
642,124076
643,109640
644,109909
645,85202
646,110016
647,98895
648,109919
649,8937
650,110101
651,113306
652,3568
653,110052
654,69489
655,110886
656,9699
657,5479
658,9906
659,7004
660,121192
661,9898
662,5656
663,123162
664,112992
665,6991
666,5449
667,9905
668,67872
669,86091
670,68234
671,85219
672,5697
673,7002
674,68749
675,66230
676,113304
677,122191
678,112979
679,5668
680,10965
681,3402
682,5678
683,98922
684,109951
685,5644
686,9902
687,13496
688,121200
689,67863
690,68250
691,109629
692,113321
693,85167
694,110115
695,7014
696,112040
697,66624
698,110804
699,5475
700,68439
701,112204
702,110980
703,9547
704,5590
705,9714
706,8861
707,113277
708,85184
709,110986
710,66446
711,113337
712,7005
713,8920
714,112234
715,5700
716,85699
717,85283
718,85207
719,7003
720,86165
721,7011
722,85289
723,8872
724,98908
725,20811
726,109187
727,5431
728,5424
729,8886
730,110050
731,9862
732,9843
733,66233
734,110103
735,86158
736,121197
737,112059
738,68248
739,124077
740,615
741,66625
742,109844
743,66589
744,7000
745,85693
746,112942
747,110895
748,5596
749,86116
750,112231
751,5426
752,109999
753,86100
754,66437
755,110913
756,3350
757,6953
758,66588
759,112196
760,98917
761,67865
762,110061
763,123178
764,110927
765,6985
766,5637
767,112194
768,5439
769,5680
770,5603
771,8874
772,5709
773,86122
774,85275
775,85263
776,5607
777,113178
778,121218
779,85194
780,66231
781,112197
782,109647
783,5681
784,5470
785,6964
786,122186
787,86108
788,5436
789,109963
790,124101
791,110874
792,8934
793,109998
794,86088
795,112946
796,9892
797,109630
798,109827
799,67827
800,67873
801,85186
802,68806
803,5543
804,110019
805,112203
806,65834
807,123254
808,113255
809,67819
810,110935
811,123144
812,67820
813,86157
814,109641
815,67808
816,66598
817,67796
818,110098
819,110751
820,9816
821,112198
822,124120
823,85274
824,9897
825,109701
826,98920
827,66436
828,86187
829,113163
830,121198
831,85185
832,110923
833,8840
834,124152
835,68427
836,98916
837,66621
838,110770
839,5664
840,113175
841,3577
842,85698
843,85233
844,123918
845,113301
846,124138
847,68237
848,124140
849,110884
850,109678
851,109179
852,123173
853,66585
854,9529
855,109654
856,7927
857,5643
858,5685
859,8935
860,112939
861,9818
862,9880
863,8835
864,112036
865,6959
866,5477
867,86152
868,5699
869,14476
870,6970
871,64
872,109183
873,7013
874,6967
875,8939
876,112047
877,98993
878,5686
879,110889
880,109971
881,113315
882,113335
883,67798
884,85256
885,8881
886,9899
887,68233
888,109988
889,113164
890,110081
891,124090
892,110798
893,123920
894,7928
895,110099
896,85206
897,110085
898,5659
899,112199
900,110138
901,5620
902,8842
903,5433
904,5663
905,113000
906,5466
907,12170
908,5669
909,67805
910,9891
911,9667
912,9863
913,110073
914,5589
915,85692
916,109954
917,66253
918,110807
919,85218
920,67814
921,109224
922,9888
923,5585
924,8863
925,109902
926,8836
927,20896
928,110872
929,109978
930,110914
931,109964
932,66587
933,5435
934,85191
935,110096
936,6986
937,110769
938,109218
939,6962
940,6729
941,124082
942,20456
943,113270
944,9889
945,9838
946,8846
947,8923
948,112955
949,9677
950,6725
951,7864
952,110906
953,5428
954,110095
955,85269
956,68441
957,66432
958,110126
959,85226
960,109631
961,67818
962,110087
963,5641
964,109219
965,109192
966,69231
967,98998
968,121150
969,110076
970,98902
971,67854
972,110755
973,68258
974,67799
975,85709
976,85286
977,6956
978,5578
979,8925
980,3404
981,85178
982,9896
983,67869
984,110024
985,112037
986,112029
987,113263
988,68249
989,86172
990,123248
991,85214
992,85177
993,113280
994,110880
995,7008
996,68593
997,124115
998,110933
999,112182
1000,85264
1001,112192
1002,86179
1003,110885
1004,109826
1005,66594
1006,9908
1007,67859
1008,109981
1009,67852
1010,110108
1011,124154
1012,68818
1013,6955
1014,3493
1015,85260
1016,66609
1017,68247
1018,113281
1019,5665
1020,109901
1021,20885
1022,5457
1023,66620
1024,99183
1025,124155
1026,6968
1027,121224
1028,113272
1029,9868
1030,112241
1031,98892
1032,110828
1033,66339
1034,112221
1035,68554
1036,86155
1037,5463
1038,67815
1039,110881
1040,68253
1041,98896
1042,69225
1043,69259
1044,110876
1045,109977
1046,99143
1047,85282
1048,67824
1049,113316
1050,9876
1051,8924
1052,5628
1053,109994
1054,99181
1055,8887
1056,85197
1057,85173
1058,110816
1059,123251
1060,5633
1061,5634
1062,85281
1063,68822
1064,112956
1065,109627
1066,109993
1067,110058
1068,99004
1069,110840
1070,8909
1071,68245
1072,69224
1073,110062
1074,5613
1075,112997
1076,113273
1077,112195
1078,109178
1079,66617
1080,6948
1081,66262
1082,5586
1083,6975
1084,110779
1085,3356
1086,110070
1087,113308
